ранг	кандзи	freq	pmw	кум%	написания
46	今	181319	928.3043	22.543	今(73273)/今日(35812)/今回(16303)/今後(14583)/今度(10847)/今年(10386)/今夜(3169)/今朝(2597)/今月(2076)/今週(1894)/今季(845)/昨今(691)/今更(607)/古今(572)/今さら(553)/今頃(500)/今井(494)/今晩(451)/今治(372)/今川(342)
47	実	181035	926.8503	22.849	実施(22896)/実際(19806)/実(18807)/事実(15125)/現実(12181)/実現(9197)/実験(6787)/実行(6772)/充実(6690)/確実(5033)/実態(5014)/実践(4132)/実質(4043)/実家(3170)/真実(2989)/実績(2954)/実感(2604)/実用(2176)/実力(2056)/実証(1649)
48	性	177604	909.2845	23.149	性(79433)/女性(32996)/男性(13236)/性格(7348)/活性(4053)/性質(3807)/特性(3244)/性能(3148)/個性(3026)/理性(1394)/相性(1313)/慢性(1311)/性別(1284)/性的(1160)/感性(1111)/急性(1017)/異性(924)/知性(819)/中性(792)/酸性(736)
49	法	175710	899.5877	23.445	法(47874)/方法(33306)/法律(15874)/法人(12632)/憲法(5623)/療法(3851)/手法(2854)/法案(2587)/法則(2522)/司法(2506)/法務(2327)/法的(2314)/商法(2097)/法令(2026)/違法(2010)/魔法(1976)/同法(1773)/民法(1758)/不法(1633)/立法(1518)
50	目	174814	895.0004	23.740	目(74389)/目的(20361)/目標(9552)/注目(6771)/項目(5252)/目指し(3581)/丁目(3309)/駄目(2669)/目指す(2501)/品目(1616)/真面目(1601)/目立つ(1477)/科目(1382)/役目(1363)/目撃(1315)/目安(1269)/一目(1204)/目立っ(1167)/名目(1144)/目覚め(1109)
51	十	173457	888.0530	24.033	十(63300)/二十(28205)/三十(16009)/十分(15432)/五十(12538)/四十(10484)/六十(6725)/七十(3873)/八十(3317)/九十(2399)/十字(1870)/数十(1679)/何十(1243)/十津川(954)/十郎(300)/十兵衛(284)/五十嵐(283)/十二分(218)/十勝(204)/十二指腸(159)
52	部	173401	887.7663	24.326	部(30535)/部分(24792)/部屋(19725)/一部(14529)/全部(9329)/内部(5936)/部門(5771)/本部(4874)/部隊(3707)/外部(3182)/文部(3102)/幹部(2738)/部品(2614)/部下(2568)/南部(2203)/部長(1790)/北部(1768)/警部(1638)/支部(1358)/上部(1305)
53	三	173381	887.6639	24.618	三(119955)/三十(16009)/三百(2725)/三角(2034)/三千(1972)/三菱(1406)/二、三(1383)/三浦(1079)/三重(1032)/三井(1000)/三郎(973)/三島(901)/三条(596)/三木(510)/三田(475)/三河(452)/三好(444)/三宅(405)/三振(394)/三味(392)
54	下	171935	880.2607	24.908	下(31261)/以下(18956)/下さい(16714)/低下(7026)/地下(5752)/下げ(3046)/廊下(2926)/部下(2568)/上下(2439)/下り(2364)/下記(2106)/天下(2029)/下水(1996)/下がっ(1883)/下手(1870)/陛下(1495)/下落(1323)/下旬(1314)/下着(1281)/下ろし(1263)
55	物	170160	871.1732	25.196	物(35507)/動物(9352)/人物(8366)/建物(8249)/物質(8075)/物語(6269)/植物(6011)/生物(5917)/買い物(3095)/博物(3013)/荷物(3008)/食べ物(2676)/物理(2614)/物価(2586)/本物(2355)/貨物(2147)/着物(1951)/物件(1895)/食物(1590)/薬物(1562)
